AAL,CPH
AAR,CPH
ABE,CHS,CLT,IAD,ORD,PHL,YYZ
ABJ,JNB
ABQ,BUR,BWI,DEN,IAD,LAS,LAX,LGB,OAK,ONT,ORD,PHX,SFO,SJC
ABS,ASW
ABV,CAI,FRA
ABZ,BGO,BHX,CPH,EBJ,GRQ,LHR,MAN,NWI,SVG
ACA,ANC,PHX
ACC,CAI,FRA,JNB
ACE,BCN,BIO,MAD,VLC
ACH,VIE
ACK,DCA,HYA,LGA
ACV,CEC,SFO,SMF
ADA,DUS,FRA,IST,MUC
ADB,DUS,FRA,IST,MUC,SAW
ADD,AMM,CAI,FRA,IST
ADF,IST
ADL,AKL,SIN
AER,VIE
AES,BGO,CPH,OSL,TRD
AGH,ARN
AGP,ARN,BCN,CPH,FRA,GVA,LIS,LPA,MAD,MUC,OSL,TFS,VIE,ZRH
AGS,CLT
AHO,VCE,VRN
AJI,IST
AKJ,HND,ICN,NGO
AKL,ADL,BHE,BKK,BNE,CHC,CNS,DUD,GIS,HKG,HLZ,HNL,IUE,KAT,KIX,KKE,LAX,LHR,MEL,MRO,NAN,NLK,NOU,NPE,NPL,NRT,NSN,OOL,PEK,PER,PMR,PPT,PVG,RAR,ROT,SFO,SIN,SYD,TBU,TRG,TUO,VLI,WAG,WHK,WLG,WRE,YVR,ZQN
ALA,CAI,FRA,ICN,IST,LHR
ALB,BOS,BUF,BWI,CLE,CLT,DCA,DEN,DFW,GSO,HSV,IAD,IAH,IND,LGA,MSP,ORD,PBI,PHL,RDU,TPA,YYZ
ALC,BCN,BGO,CPH,KRS,MAD,OSL,SVG,TRD
ALF,OSL
ALG,BCN,CAI,FRA,IST
ALP,CAI,IST,LHR
ALY,BEN,BEY,CAI,DMM,DOH,DXB,FRA,HRG,JED,KWI,LXR,MED,RUH,TIP
AMD,SIN
AMM,ADD,CAI,FRA,IST,LHR,VIE
AMS,ARN,ASR,BOS,BSL,CAI,CPH,DBV,ESB,FRA,HAM,IST,LAX,LHR,LIS,LJU,MUC,OPO,ORD,OSL,PHL,PUY,SIN,SPU,VIE,WAW,ZAG,ZRH
ANC,ABQ,DTW,YVR
ANU,CLT,YYZ
AOE,BRU,IST
AOI,MUC
AOK,GRZ,VIE
AOO,IAD,JST
APW,AKL,LAX
